Priority,URL,HTTP,Indexable,Sitemap,Canonical,GSC inspection,Bing status,Monitoring note
1,https://vidrial.vercel.app/,200,true,true,https://vidrial.vercel.app/,Pending authenticated inspection,Pending property import,Review after provider data begins processing
2,https://vidrial.vercel.app/youtube-clipper,200,true,true,https://vidrial.vercel.app/youtube-clipper,Pending authenticated inspection,Pending property import,Review after provider data begins processing
3,https://vidrial.vercel.app/features,200,true,true,https://vidrial.vercel.app/features,Pending authenticated inspection,Pending property import,Review after provider data begins processing
4,https://vidrial.vercel.app/how-it-works,200,true,true,https://vidrial.vercel.app/how-it-works,Pending authenticated inspection,Pending property import,Review after provider data begins processing
5,https://vidrial.vercel.app/pricing,200,true,true,https://vidrial.vercel.app/pricing,Pending authenticated inspection,Pending property import,Review after provider data begins processing
6,https://vidrial.vercel.app/blog,200,true,true,https://vidrial.vercel.app/blog,Pending authenticated inspection,Pending property import,Review after provider data begins processing
7,https://vidrial.vercel.app/ai-transparency,200,true,true,https://vidrial.vercel.app/ai-transparency,Pending authenticated inspection,Pending property import,Review after provider data begins processing
8,https://vidrial.vercel.app/security,200,true,true,https://vidrial.vercel.app/security,Pending authenticated inspection,Pending property import,Review after provider data begins processing
9,https://vidrial.vercel.app/blog/add-captions-to-youtube-shorts-automatically,200,true,true,https://vidrial.vercel.app/blog/add-captions-to-youtube-shorts-automatically,Pending authenticated inspection,Pending property import,Review after provider data begins processing
10,https://vidrial.vercel.app/blog/ai-video-clipping-vs-manual-editing,200,true,true,https://vidrial.vercel.app/blog/ai-video-clipping-vs-manual-editing,Pending authenticated inspection,Pending property import,Review after provider data begins processing
11,https://vidrial.vercel.app/blog/ai-video-editing-for-beginners,200,true,true,https://vidrial.vercel.app/blog/ai-video-editing-for-beginners,Pending authenticated inspection,Pending property import,Review after provider data begins processing
12,https://vidrial.vercel.app/blog/clip-podcasts-for-youtube-shorts,200,true,true,https://vidrial.vercel.app/blog/clip-podcasts-for-youtube-shorts,Pending authenticated inspection,Pending property import,Review after provider data begins processing
13,https://vidrial.vercel.app/blog/how-ai-finds-video-highlights,200,true,true,https://vidrial.vercel.app/blog/how-ai-finds-video-highlights,Pending authenticated inspection,Pending property import,Review after provider data begins processing
14,https://vidrial.vercel.app/blog/how-many-shorts-from-one-long-video,200,true,true,https://vidrial.vercel.app/blog/how-many-shorts-from-one-long-video,Pending authenticated inspection,Pending property import,Review after provider data begins processing
15,https://vidrial.vercel.app/blog/how-to-turn-a-youtube-video-into-shorts,200,true,true,https://vidrial.vercel.app/blog/how-to-turn-a-youtube-video-into-shorts,Pending authenticated inspection,Pending property import,Review after provider data begins processing
16,https://vidrial.vercel.app/blog/how-to-turn-long-videos-into-shorts-with-ai,200,true,true,https://vidrial.vercel.app/blog/how-to-turn-long-videos-into-shorts-with-ai,Pending authenticated inspection,Pending property import,Review after provider data begins processing
17,https://vidrial.vercel.app/blog/how-to-write-youtube-shorts-hooks,200,true,true,https://vidrial.vercel.app/blog/how-to-write-youtube-shorts-hooks,Pending authenticated inspection,Pending property import,Review after provider data begins processing
18,https://vidrial.vercel.app/blog/long-form-to-short-form-video-workflow,200,true,true,https://vidrial.vercel.app/blog/long-form-to-short-form-video-workflow,Pending authenticated inspection,Pending property import,Review after provider data begins processing
19,https://vidrial.vercel.app/blog/make-youtube-shorts-from-long-videos-automatically,200,true,true,https://vidrial.vercel.app/blog/make-youtube-shorts-from-long-videos-automatically,Pending authenticated inspection,Pending property import,Review after provider data begins processing
20,https://vidrial.vercel.app/blog/reframe-landscape-youtube-videos-into-vertical-shorts,200,true,true,https://vidrial.vercel.app/blog/reframe-landscape-youtube-videos-into-vertical-shorts,Pending authenticated inspection,Pending property import,Review after provider data begins processing
